Gender,Age,AffluenceGrade,LoyaltyCardTenure,OrganicsPurchaseCount,OrganicsPurchaseIndicator,TotalSpend
F,56.0,11.0,7.0,0,0,6105.32
M,61.0,8.0,6.0,0,0,3250.0
M,68.0,9.0,4.0,0,0,4250.0
F,70.0,3.0,11.0,0,0,3000.0
M,40.0,10.0,13.0,0,0,1000.0
F,54.0,11.0,9.0,0,0,360.0
F,44.0,9.0,5.0,0,0,6053.35
F,22.0,9.0,3.0,1,1,1000.0
M,73.0,10.0,27.0,0,0,5000.0
F,76.0,8.0,3.0,1,1,1000.0
F,48.0,9.0,2.0,0,0,6000.0
F,61.0,10.0,3.0,1,1,3000.0
M,55.0,8.0,8.0,0,0,4000.0
F,76.0,5.0,3.0,1,1,6000.0
M,47.0,11.0,11.0,0,0,1200.0
F,60.0,12.0,4.0,0,0,9604.34
F,67.0,9.0,5.0,1,1,10000.0
M,53.0,4.0,9.0,0,0,1070.0
F,59.0,3.0,4.0,0,0,12000.0
M,69.0,8.0,8.0,0,0,14400.0
M,63.0,10.0,7.0,0,0,3000.0
F,64.0,4.0,9.0,0,0,420.0
M,45.0,8.0,2.0,0,0,6000.0
M,62.0,11.0,10.0,0,0,6000.0
M,64.0,13.0,8.0,0,0,12000.0
F,25.0,11.0,3.0,1,1,3000.0
F,46.0,5.0,9.0,0,0,24878.35
M,62.0,6.0,4.0,0,0,18800.0
M,77.0,5.0,16.0,0,0,9600.0
F,29.0,4.0,7.0,1,1,100.0
F,68.0,12.0,31.0,0,0,2000.0
F,36.0,7.0,8.0,1,1,3000.01
F,43.0,17.0,6.0,2,1,3026.67
M,44.0,10.0,9.0,0,0,500.0
F,51.0,9.0,10.0,0,0,7053.34
F,62.0,7.0,2.0,0,0,6000.0
F,54.0,18.0,9.0,2,1,970.92
M,57.0,7.0,5.0,0,0,1500.0
M,63.0,7.0,5.0,0,0,7500.0
M,74.0,11.0,8.0,0,0,10000.01
M,56.0,8.0,5.0,1,1,4000.0
F,50.0,8.0,5.0,0,0,4800.0
M,72.0,7.0,5.0,0,0,6000.0
M,28.0,8.0,2.0,0,0,68.22
F,65.0,9.0,6.0,0,0,6053.35
F,59.0,11.0,5.0,0,0,10213.66
F,48.0,12.0,13.0,2,1,6053.35
F,39.0,9.0,4.0,1,1,2700.0
M,44.0,11.0,3.0,1,1,6000.0
F,57.0,11.0,6.0,1,1,9000.0
F,34.0,5.0,5.0,0,0,6000.0
M,69.0,6.0,12.0,0,0,12105.32
M,53.0,11.0,7.0,0,0,600.0
M,67.0,6.0,4.0,0,0,1200.0
F,74.0,8.0,5.0,0,0,2000.0
F,73.0,4.0,20.0,0,0,6500.0
F,60.0,7.0,10.0,1,1,1324.2
F,74.0,9.0,12.0,0,0,11605.32
F,58.0,5.0,9.0,0,0,21000.0
F,43.0,8.0,4.0,0,0,1200.0
F,78.0,8.0,2.0,1,1,3000.0
F,76.0,4.0,6.0,0,0,6000.0
F,48.0,15.0,9.0,1,1,500.0
M,64.0,10.0,11.0,0,0,5100.0
F,62.0,10.0,5.0,0,0,6053.35
F,35.0,11.0,8.0,1,1,600.0
F,35.0,8.0,6.0,1,1,1000.0
M,63.0,6.0,6.0,0,0,30131.68
M,57.0,12.0,4.0,0,0,1000.0
F,45.0,11.0,4.0,0,0,720.0
F,49.0,6.0,4.0,1,1,920.0
M,70.0,9.0,8.0,0,0,3000.0
F,62.0,8.0,2.0,0,0,3750.0
F,59.0,9.0,28.0,0,0,7400.0
M,52.0,15.0,5.0,1,1,3000.0
M,50.0,9.0,9.0,0,0,1200.0
F,68.0,12.0,3.0,1,1,18678.76
M,53.0,14.0,5.0,2,1,480.0
F,76.0,14.0,9.0,1,1,500.0
F,63.0,11.0,12.0,0,0,19000.0
F,62.0,11.0,2.0,0,0,12000.0
F,30.0,22.0,4.0,3,1,1750.0
M,57.0,5.0,4.0,0,0,3000.0
F,23.0,7.0,5.0,1,1,1000.0
F,46.0,9.0,2.0,0,0,5000.0
M,54.0,7.0,11.0,0,0,4500.0
F,66.0,13.0,5.0,1,1,2000.0
M,58.0,3.0,2.0,0,0,3000.0
F,54.0,10.0,5.0,1,1,2000.0
F,72.0,7.0,8.0,0,0,26053.35
M,70.0,14.0,3.0,0,0,20294.5
F,49.0,12.0,3.0,0,0,14000.0
M,70.0,12.0,24.0,1,1,29374.72
F,77.0,3.0,4.0,0,0,15053.82
M,63.0,6.0,13.0,0,0,18000.0
F,68.0,6.0,5.0,0,0,19411.22
F,68.0,5.0,9.0,0,0,1500.0
M,73.0,7.0,4.0,1,1,2000.0
F,59.0,10.0,2.0,1,1,6000.0
F,67.0,11.0,2.0,1,1,6000.0
F,56.0,7.0,3.0,0,0,20383.7
F,69.0,9.0,18.0,0,0,5000.0
M,75.0,8.0,2.0,0,0,8000.0
M,50.0,6.0,6.0,0,0,1000.0
F,25.0,12.0,2.0,1,1,6000.0
F,50.0,10.0,8.0,0,0,3000.0
F,64.0,9.0,7.0,1,1,300.0
F,61.0,15.0,4.0,0,0,7500.0
M,67.0,11.0,2.0,0,0,9000.0
F,55.0,9.0,4.0,0,0,2000.0
F,67.0,10.0,8.0,0,0,3000.0
F,45.0,5.0,3.0,0,0,19465.7
F,75.0,12.0,23.0,1,1,24106.7
F,63.0,8.0,6.0,0,0,7000.0
F,53.0,15.0,3.0,0,0,6000.0
M,53.0,7.0,8.0,0,0,2460.01
F,38.0,3.0,5.0,0,0,5192.69
F,29.0,8.0,4.0,1,1,1500.0
M,43.0,13.0,11.0,0,0,50.0
F,70.0,6.0,9.0,1,1,1000.0
F,65.0,12.0,4.0,1,1,2215.4
F,73.0,6.0,7.0,0,0,600.0
F,41.0,9.0,6.0,0,0,12000.0
F,64.0,11.0,4.0,0,0,6000.0
F,32.0,6.0,10.0,1,1,3050.0
F,58.0,2.0,12.0,0,0,6550.0
F,70.0,6.0,8.0,0,0,6000.0
M,60.0,16.0,2.0,0,0,3000.0
F,62.0,5.0,5.0,0,0,6000.0
F,49.0,6.0,10.0,0,0,1608.0
F,59.0,7.0,4.0,0,0,5000.0
M,53.0,8.0,5.0,0,0,1000.0
F,62.0,20.0,4.0,1,1,1600.0
F,79.0,11.0,16.0,0,0,5000.0
F,37.0,12.0,5.0,1,1,6000.01
F,62.0,8.0,5.0,0,0,13500.0
F,68.0,8.0,5.0,0,0,2200.0
F,51.0,9.0,4.0,0,0,6001.74
F,39.0,13.0,2.0,1,1,1500.0
F,55.0,6.0,29.0,1,1,7000.0
F,57.0,3.0,6.0,0,0,2500.0
F,50.0,12.0,9.0,1,1,600.0
M,51.0,7.0,2.0,0,0,6000.0
M,67.0,7.0,8.0,0,0,12000.0
M,68.0,13.0,3.0,0,0,20364.36
F,47.0,16.0,8.0,1,1,2790.0
M,29.0,7.0,8.0,1,1,360.0
M,61.0,6.0,4.0,0,0,900.0
F,70.0,8.0,15.0,0,0,3000.01
F,77.0,6.0,3.0,0,0,6000.0
F,36.0,25.0,5.0,3,1,2000.0
F,38.0,8.0,6.0,1,1,12035.57
M,58.0,15.0,10.0,0,0,100.0
M,65.0,12.0,10.0,0,0,12100.0
F,67.0,8.0,7.0,1,1,6000.0
F,45.0,7.0,9.0,0,0,6000.0
M,36.0,5.0,8.0,0,0,50.01
F,27.0,9.0,3.0,0,0,10000.0
M,46.0,8.0,2.0,0,0,6000.0
F,78.0,6.0,21.0,0,0,6000.0
F,55.0,7.0,5.0,0,0,2000.0
F,55.0,10.0,9.0,0,0,1020.0
F,52.0,8.0,5.0,0,0,3000.0
F,75.0,8.0,4.0,0,0,15000.0
F,36.0,10.0,4.0,1,1,1100.0
M,64.0,6.0,14.0,0,0,3000.0
F,58.0,3.0,13.0,0,0,19171.95
M,48.0,9.0,5.0,0,0,10500.0
F,65.0,6.0,17.0,0,0,3213.27
F,49.0,5.0,4.0,0,0,16000.0
F,44.0,5.0,8.0,1,1,1005.0
F,38.0,12.0,5.0,0,0,15500.0
F,73.0,6.0,7.0,0,0,9053.35
F,74.0,5.0,2.0,0,0,3000.0
M,48.0,6.0,4.0,0,0,6053.34
F,58.0,11.0,3.0,1,1,20406.2
F,76.0,10.0,8.0,0,0,11800.0
F,58.0,10.0,2.0,0,0,6000.0
M,69.0,8.0,24.0,0,0,1420.0
M,72.0,8.0,4.0,1,1,7000.0
F,33.0,12.0,9.0,2,1,500.0
F,39.0,10.0,3.0,1,1,10000.0
F,68.0,9.0,2.0,0,0,12000.0
F,49.0,16.0,2.0,1,1,2000.0
M,45.0,14.0,2.0,0,0,7000.0
M,54.0,10.0,10.0,1,1,50050.0
M,62.0,18.0,9.0,1,1,23000.0
F,62.0,9.0,2.0,0,0,6000.0
M,58.0,6.0,3.0,0,0,20610.65
M,58.0,5.0,8.0,0,0,3000.0
F,57.0,10.0,12.0,1,1,3053.35
M,57.0,17.0,8.0,0,0,12105.32
F,65.0,4.0,2.0,1,1,6000.0
M,75.0,8.0,2.0,1,1,6000.0
M,74.0,6.0,12.0,0,0,3000.0
F,58.0,6.0,2.0,0,0,3000.0
F,43.0,9.0,8.0,1,1,50.01
F,62.0,13.0,8.0,0,0,18426.67
F,55.0,9.0,9.0,0,0,24300.0
M,46.0,10.0,9.0,0,0,3120.0
M,66.0,7.0,8.0,0,0,1200.0
M,55.0,8.0,18.0,0,0,23.84
F,58.0,14.0,18.0,2,1,100.0
F,67.0,11.0,11.0,1,1,12620.93
M,65.0,7.0,8.0,0,0,3000.0
M,69.0,13.0,5.0,0,0,5000.0
M,57.0,8.0,16.0,0,0,17496.51
F,58.0,5.0,5.0,0,0,1000.0
F,65.0,7.0,2.0,0,0,12000.0
M,62.0,7.0,11.0,0,0,4884.25
M,70.0,6.0,4.0,0,0,32000.0
F,41.0,6.0,10.0,1,1,3052.66
M,22.0,20.0,2.0,2,1,100.0
F,74.0,9.0,12.0,0,0,6000.0
F,32.0,9.0,2.0,1,1,6000.0
F,49.0,13.0,9.0,0,0,500.0
M,63.0,12.0,13.0,0,0,5500.0
M,76.0,12.0,9.0,0,0,364.38
F,59.0,8.0,9.0,2,1,3000.0
F,71.0,8.0,3.0,0,0,20767.52
M,63.0,10.0,4.0,0,0,6000.0
F,48.0,11.0,5.0,1,1,900.0
M,47.0,16.0,5.0,0,0,1000.0
F,77.0,6.0,32.0,0,0,6000.0
M,69.0,7.0,4.0,0,0,25162.77
F,71.0,8.0,31.0,1,1,4884.25
F,58.0,16.0,9.0,0,0,5000.0
F,51.0,8.0,5.0,0,0,3000.0
F,54.0,11.0,8.0,0,0,1500.0
F,69.0,16.0,8.0,0,0,3000.0
F,49.0,12.0,5.0,1,1,600.0
F,55.0,9.0,5.0,1,1,10000.0
F,67.0,7.0,9.0,0,0,11035.58
M,61.0,9.0,4.0,0,0,1000.0
M,49.0,4.0,9.0,0,0,900.0
F,54.0,10.0,5.0,0,0,100.01
F,52.0,14.0,6.0,1,1,6053.34
F,65.0,6.0,2.0,0,0,3000.0
F,70.0,9.0,5.0,1,1,3000.0
F,74.0,5.0,2.0,0,0,6000.0
F,33.0,7.0,13.0,1,1,1500.0
F,46.0,8.0,22.0,0,0,3000.0
F,70.0,3.0,8.0,0,0,3000.0
M,56.0,8.0,10.0,0,0,3000.0
F,48.0,7.0,7.0,2,1,6105.32
F,71.0,15.0,5.0,1,1,1500.0
F,60.0,9.0,2.0,0,0,11858.52
F,52.0,6.0,7.0,0,0,8200.0
F,42.0,4.0,8.0,1,1,4884.25
M,23.0,5.0,5.0,0,0,480.0
F,33.0,7.0,11.0,0,0,2000.0
F,51.0,4.0,14.0,0,0,2200.0
F,20.0,5.0,3.0,1,1,1208.13
F,29.0,9.0,3.0,1,1,10000.0
F,63.0,11.0,9.0,1,1,300.0
F,61.0,12.0,5.0,0,0,1500.0
F,43.0,4.0,8.0,0,0,6000.0
F,53.0,10.0,10.0,0,0,9630.0
M,45.0,9.0,4.0,0,0,2000.0
F,40.0,12.0,4.0,0,0,2000.0
F,68.0,11.0,3.0,0,0,15000.0
F,51.0,10.0,6.0,0,0,3422.48
M,57.0,14.0,9.0,1,1,800.0
F,31.0,7.0,7.0,0,0,531.36
F,24.0,11.0,6.0,1,1,6053.35
M,46.0,4.0,9.0,0,0,3000.0
F,55.0,10.0,12.0,0,0,4234.11
M,65.0,12.0,8.0,0,0,3000.0
F,66.0,7.0,6.0,0,0,6000.0
M,48.0,20.0,9.0,2,1,500.0
F,77.0,4.0,9.0,0,0,6035.46
F,44.0,11.0,7.0,0,0,6053.35
F,64.0,6.0,4.0,0,0,1440.0
M,67.0,7.0,9.0,0,0,50.01
M,50.0,13.0,5.0,0,0,500.0
F,36.0,11.0,6.0,1,1,9053.35
F,36.0,5.0,2.0,1,1,75.0
F,67.0,9.0,8.0,0,0,12105.32
F,70.0,16.0,14.0,1,1,19053.34
F,72.0,3.0,16.0,0,0,3000.0
M,44.0,8.0,6.0,0,0,6107.64
F,77.0,6.0,8.0,0,0,3000.0
F,64.0,8.0,8.0,0,0,10300.0
F,51.0,8.0,2.0,0,0,6000.0
F,42.0,11.0,4.0,0,0,6000.0
M,54.0,12.0,12.0,0,0,3000.0
F,39.0,6.0,5.0,1,1,2000.0
M,41.0,7.0,10.0,0,0,6315.0
F,48.0,13.0,9.0,0,0,6000.0
F,62.0,4.0,9.0,0,0,6000.0
M,70.0,11.0,11.0,1,1,6053.34
F,38.0,18.0,4.0,3,1,1000.0
M,49.0,12.0,8.0,0,0,2350.0
M,57.0,9.0,2.0,0,0,6000.0
F,74.0,3.0,2.0,1,1,4000.0
F,36.0,10.0,5.0,1,1,600.0
F,50.0,14.0,3.0,0,0,5000.0
M,76.0,9.0,4.0,0,0,22025.0
F,65.0,6.0,24.0,1,1,9768.5
F,44.0,8.0,11.0,0,0,3500.0
F,47.0,10.0,9.0,0,0,3000.0
M,63.0,10.0,2.0,0,0,6000.0
F,50.0,14.0,11.0,0,0,10166.01
F,47.0,8.0,2.0,0,0,5000.0
F,64.0,7.0,5.0,0,0,2000.0
M,60.0,16.0,12.0,0,0,6105.32
F,52.0,8.0,2.0,0,0,4199.92
F,43.0,7.0,4.0,0,0,4000.0
F,55.0,26.0,13.0,2,1,6000.0
F,56.0,10.0,2.0,1,1,6000.0
M,49.0,7.0,11.0,0,0,5000.0
F,74.0,5.0,14.0,0,0,13791.44
F,33.0,18.0,9.0,3,1,500.0
F,39.0,4.0,3.0,0,0,3000.0
F,69.0,7.0,2.0,0,0,6000.0
F,40.0,4.0,2.0,0,0,1167.88
M,48.0,13.0,4.0,0,0,3000.0
F,79.0,5.0,9.0,0,0,500.0
F,42.0,13.0,8.0,0,0,3200.0
F,53.0,6.0,5.0,0,0,3000.0
F,63.0,7.0,9.0,0,0,4035.88
M,52.0,9.0,4.0,0,0,1000.0
M,57.0,11.0,8.0,2,1,3000.0
F,58.0,7.0,11.0,0,0,1000.0
F,52.0,14.0,4.0,2,1,20000.0
M,53.0,6.0,5.0,0,0,12053.35
M,69.0,4.0,5.0,0,0,1500.0
M,52.0,11.0,8.0,0,0,6052.65
M,62.0,14.0,5.0,0,0,2000.0
F,62.0,12.0,8.0,0,0,12105.32
F,49.0,5.0,4.0,0,0,5040.0
F,78.0,7.0,5.0,0,0,6000.0
M,60.0,8.0,13.0,0,0,13000.0
F,62.0,6.0,8.0,0,0,8300.0
F,54.0,5.0,4.0,0,0,4000.0
F,29.0,11.0,9.0,2,1,1000.0
M,51.0,6.0,7.0,0,0,15053.35
F,67.0,9.0,4.0,0,0,1000.0
F,57.0,5.0,2.0,0,0,6000.0
M,62.0,8.0,18.0,0,0,2679.2
F,51.0,6.0,5.0,0,0,1000.0
F,59.0,9.0,4.0,0,0,1000.0
F,47.0,10.0,2.0,0,0,37.01
M,38.0,7.0,7.0,0,0,350.0
F,73.0,6.0,11.0,0,0,9107.17
M,52.0,10.0,9.0,0,0,360.0
F,77.0,13.0,5.0,0,0,6000.0
F,70.0,6.0,5.0,0,0,3000.0
F,62.0,10.0,3.0,0,0,9000.0
M,67.0,5.0,28.0,0,0,3300.01
F,67.0,10.0,31.0,0,0,6000.0
F,40.0,12.0,3.0,1,1,20487.4
F,60.0,13.0,5.0,1,1,22000.0
M,51.0,6.0,7.0,0,0,18106.7
F,71.0,8.0,5.0,1,1,20500.0
F,45.0,8.0,6.0,0,0,2000.0
F,67.0,6.0,6.0,0,0,7000.0
F,68.0,9.0,3.0,1,1,23690.92
M,37.0,6.0,9.0,0,0,500.0
F,75.0,10.0,9.0,1,1,2650.0
M,47.0,10.0,5.0,0,0,3000.0
F,72.0,10.0,25.0,0,0,6000.0
M,68.0,5.0,3.0,0,0,20665.56
F,44.0,9.0,11.0,0,0,3746.34
F,52.0,6.0,5.0,1,1,6053.35
F,36.0,10.0,9.0,1,1,1600.0
F,59.0,7.0,5.0,0,0,2500.0
F,51.0,8.0,7.0,0,0,6053.35
F,64.0,15.0,2.0,1,1,6000.0
F,65.0,8.0,5.0,1,1,1000.0
F,68.0,11.0,5.0,0,0,6000.0
M,64.0,7.0,26.0,0,0,7828.53
F,69.0,6.0,13.0,0,0,14958.67
F,55.0,12.0,28.0,0,0,14800.0
F,63.0,7.0,4.0,0,0,10000.0
M,43.0,2.0,7.0,0,0,24053.35
F,75.0,9.0,2.0,0,0,5000.0
F,72.0,14.0,7.0,0,0,3026.67
F,37.0,13.0,4.0,1,1,3000.0
F,59.0,9.0,2.0,0,0,7000.0
M,66.0,11.0,15.0,0,0,31000.0
M,64.0,8.0,9.0,0,0,3000.0
F,74.0,13.0,6.0,0,0,2000.0
F,72.0,4.0,29.0,0,0,6955.32
F,35.0,5.0,3.0,0,0,3000.0
F,74.0,9.0,4.0,1,1,1000.0
F,68.0,5.0,21.0,0,0,4000.0
M,76.0,10.0,6.0,1,1,2000.0
F,48.0,3.0,12.0,0,0,44.12
M,29.0,4.0,5.0,0,0,600.01
F,33.0,9.0,13.0,1,1,12000.0
F,47.0,11.0,10.0,1,1,3000.0
F,69.0,12.0,8.0,0,0,3000.0
F,52.0,6.0,11.0,0,0,1000.0
F,63.0,5.0,8.0,0,0,10000.0
M,71.0,10.0,4.0,0,0,2161.72
F,48.0,14.0,4.0,1,1,3900.0
F,76.0,13.0,14.0,1,1,17554.29
M,46.0,8.0,2.0,0,0,6000.0
F,73.0,12.0,7.0,0,0,6053.35
F,48.0,10.0,10.0,0,0,200.0
F,54.0,12.0,2.0,0,0,3000.0
F,66.0,10.0,3.0,1,1,5000.0
M,33.0,21.0,9.0,3,1,6000.0
M,70.0,12.0,29.0,0,0,30075.0
F,50.0,10.0,4.0,0,0,1000.0
F,68.0,6.0,12.0,0,0,6000.0
M,43.0,10.0,5.0,1,1,6000.0
F,65.0,12.0,8.0,0,0,50.01
F,52.0,6.0,4.0,0,0,6053.34
F,46.0,6.0,9.0,0,0,3511.53
F,71.0,10.0,5.0,0,0,6000.0
M,76.0,4.0,13.0,0,0,15527.42
F,71.0,7.0,4.0,0,0,12000.0
F,24.0,7.0,5.0,1,1,3000.0
F,50.0,4.0,5.0,0,0,5000.0
M,55.0,10.0,5.0,0,0,5000.0
M,66.0,10.0,2.0,0,0,5000.0
F,59.0,8.0,4.0,0,0,2000.0
F,56.0,10.0,5.0,0,0,6187.2
F,59.0,5.0,4.0,0,0,4000.0
F,72.0,9.0,3.0,1,1,5000.0
F,64.0,11.0,4.0,1,1,12000.0
F,43.0,9.0,8.0,0,0,200.0
F,62.0,7.0,2.0,0,0,57452.71
F,67.0,7.0,2.0,0,0,6000.0
F,55.0,10.0,12.0,0,0,54491.89
F,79.0,4.0,2.0,0,0,6000.0
F,66.0,7.0,2.0,0,0,6000.0
F,65.0,11.0,5.0,0,0,6000.0
M,53.0,9.0,3.0,0,0,3000.0
F,64.0,3.0,6.0,0,0,5000.0
F,57.0,10.0,9.0,0,0,420.01
F,53.0,10.0,4.0,0,0,1000.0
F,72.0,15.0,2.0,0,0,1000.0
F,71.0,17.0,4.0,1,1,2000.0
F,56.0,8.0,10.0,0,0,360.0
M,66.0,7.0,14.0,0,0,12000.0
F,70.0,6.0,8.0,0,0,14100.0
