CustomerLoyaltyID,Gender,Age,AffluenceGrade,LoyaltyCardTenure,OrganicsPurchaseCount,OrganicsPurchaseIndicator,TotalSpend
528102,F,74.0,10.0,5.0,0,0,19000.0
532479,F,44.0,11.0,9.0,0,0,500.0
543683,M,46.0,7.0,12.0,0,0,17409.76
553115,F,29.0,8.0,12.0,0,0,2000.0
588784,M,64.0,9.0,12.0,0,0,1000.0
595233,M,49.0,10.0,5.0,1,1,3000.0
598453,F,59.0,17.0,8.0,2,1,12000.0
606316,F,51.0,15.0,8.0,1,1,3000.0
607444,F,51.0,18.0,3.0,0,0,3000.0
608378,F,58.0,5.0,11.0,0,0,3050.0
633380,M,68.0,7.0,6.0,0,0,15000.01
633542,F,76.0,12.0,2.0,0,0,6000.0
663603,F,74.0,11.0,4.0,0,0,3350.0
667692,F,60.0,5.0,2.0,0,0,5000.0
669067,F,35.0,10.0,4.0,0,0,1500.0
674885,F,46.0,3.0,5.0,0,0,6000.0
691178,M,37.0,9.0,11.0,1,1,10000.0
723185,F,49.0,12.0,3.0,0,0,3000.0
734446,F,63.0,4.0,7.0,0,0,3026.67
770264,F,64.0,8.0,2.0,0,0,12000.0
775258,F,31.0,12.0,9.0,0,0,1100.0
778176,F,41.0,11.0,5.0,0,0,1000.0
802069,F,70.0,7.0,2.0,0,0,12000.0
819301,M,51.0,10.0,6.0,0,0,1000.0
823961,F,52.0,8.0,2.0,0,0,6000.0
830380,F,43.0,8.0,10.0,0,0,50.0
856916,M,54.0,8.0,8.0,0,0,12000.0
861820,F,54.0,5.0,2.0,0,0,1000.0
870307,M,53.0,9.0,3.0,0,0,6000.0
889199,F,39.0,14.0,10.0,1,1,50.0
897485,F,42.0,9.0,2.0,1,1,6000.0
899186,M,67.0,6.0,8.0,0,0,3000.0
922366,F,78.0,7.0,5.0,0,0,1250.0
929506,M,79.0,5.0,8.0,0,0,6000.0
935530,F,68.0,8.0,8.0,1,1,800.0
943517,F,48.0,9.0,8.0,0,0,600.0
950033,M,35.0,12.0,5.0,0,0,1500.0
952729,M,42.0,11.0,5.0,0,0,6041.13
956155,M,50.0,14.0,4.0,0,0,420.01
966932,F,50.0,8.0,8.0,0,0,50.0
994332,F,66.0,8.0,8.0,0,0,500.0
997684,F,54.0,6.0,11.0,0,0,50.0
1008129,M,55.0,8.0,5.0,0,0,1000.0
1009931,F,59.0,11.0,2.0,0,0,1500.0
1011243,M,63.0,6.0,2.0,1,1,1000.0
1040227,F,66.0,7.0,8.0,0,0,9000.0
1054015,F,78.0,6.0,5.0,0,0,7500.0
1055682,M,55.0,9.0,2.0,0,0,5672.31
1060228,M,49.0,7.0,3.0,0,0,10000.0
1070037,F,73.0,5.0,32.0,0,0,600.0
1070460,F,71.0,8.0,4.0,1,1,23425.0
1072773,F,52.0,14.0,5.0,0,0,7017.55
1084607,F,57.0,9.0,7.0,0,0,9052.66
1091085,M,63.0,10.0,4.0,0,0,6053.34
1101579,F,58.0,8.0,9.0,0,0,1930.0
1108646,F,61.0,9.0,11.0,0,0,12150.0
1111434,F,70.0,13.0,11.0,0,0,500.0
1128353,F,70.0,5.0,5.0,0,0,3500.0
1131451,F,60.0,6.0,4.0,0,0,10000.0
1134051,F,77.0,14.0,11.0,0,0,4884.25
1135724,F,74.0,10.0,12.0,0,0,4500.0
1136585,F,67.0,7.0,5.0,0,0,3000.0
1137492,M,51.0,7.0,11.0,1,1,17000.0
1138235,F,37.0,18.0,8.0,3,1,50.01
1150820,F,58.0,5.0,22.0,0,0,6000.0
1151037,F,27.0,6.0,7.0,0,0,5.0
1156179,F,70.0,9.0,8.0,0,0,6000.0
1178520,F,58.0,10.0,8.0,0,0,3000.01
1184199,F,38.0,7.0,4.0,0,0,4500.0
1186671,F,71.0,7.0,3.0,1,1,2000.0
1190369,M,50.0,22.0,6.0,2,1,3000.0
1192051,F,51.0,6.0,27.0,0,0,3500.0
1214039,F,64.0,8.0,4.0,1,1,20000.0
1214934,F,50.0,9.0,4.0,0,0,5000.0
1220462,F,41.0,5.0,3.0,0,0,6000.0
1227807,F,54.0,13.0,30.0,0,0,12078.35
1237713,F,45.0,13.0,8.0,0,0,3000.0
1246933,M,59.0,10.0,2.0,0,0,780.0
1260758,M,66.0,9.0,9.0,0,0,2000.0
1265857,M,73.0,8.0,6.0,0,0,6000.0
1287850,F,56.0,11.0,7.0,0,0,6105.32
1311360,M,61.0,8.0,6.0,0,0,3250.0
1314483,M,68.0,9.0,4.0,0,0,4250.0
1318845,F,70.0,3.0,11.0,0,0,3000.0
1322516,M,40.0,10.0,13.0,0,0,1000.0
1330489,F,54.0,11.0,9.0,0,0,360.0
1338498,F,44.0,9.0,5.0,0,0,6053.35
1352482,F,22.0,9.0,3.0,1,1,1000.0
1353292,M,73.0,10.0,27.0,0,0,5000.0
1379240,F,76.0,8.0,3.0,1,1,1000.0
1403478,F,48.0,9.0,2.0,0,0,6000.0
1408038,F,61.0,10.0,3.0,1,1,3000.0
1421123,M,55.0,8.0,8.0,0,0,4000.0
1438069,F,76.0,5.0,3.0,1,1,6000.0
1439030,M,47.0,11.0,11.0,0,0,1200.0
1467158,F,60.0,12.0,4.0,0,0,9604.34
1469819,F,67.0,9.0,5.0,1,1,10000.0
1470698,M,53.0,4.0,9.0,0,0,1070.0
1472623,F,59.0,3.0,4.0,0,0,12000.0
1487604,M,69.0,8.0,8.0,0,0,14400.0
1492209,M,63.0,10.0,7.0,0,0,3000.0
1509918,F,64.0,4.0,9.0,0,0,420.0
1514946,M,45.0,8.0,2.0,0,0,6000.0
1523775,M,62.0,11.0,10.0,0,0,6000.0
1524712,M,64.0,13.0,8.0,0,0,12000.0
1533258,F,25.0,11.0,3.0,1,1,3000.0
1535226,F,46.0,5.0,9.0,0,0,24878.35
1544969,M,62.0,6.0,4.0,0,0,18800.0
1550918,M,77.0,5.0,16.0,0,0,9600.0
1587250,F,29.0,4.0,7.0,1,1,100.0
1611844,F,68.0,12.0,31.0,0,0,2000.0
1617974,F,36.0,7.0,8.0,1,1,3000.01
1620797,F,43.0,17.0,6.0,2,1,3026.67
1665502,M,44.0,10.0,9.0,0,0,500.0
1670514,F,51.0,9.0,10.0,0,0,7053.34
1673556,F,62.0,7.0,2.0,0,0,6000.0
1681265,F,54.0,18.0,9.0,2,1,970.92
1691082,M,57.0,7.0,5.0,0,0,1500.0
1692658,M,63.0,7.0,5.0,0,0,7500.0
1731165,M,74.0,11.0,8.0,0,0,10000.01
1739360,M,56.0,8.0,5.0,1,1,4000.0
1742434,F,50.0,8.0,5.0,0,0,4800.0
1762605,M,72.0,7.0,5.0,0,0,6000.0
1764616,M,28.0,8.0,2.0,0,0,68.22
1765760,F,65.0,9.0,6.0,0,0,6053.35
1772406,F,59.0,11.0,5.0,0,0,10213.66
1794663,F,48.0,12.0,13.0,2,1,6053.35
1799983,F,39.0,9.0,4.0,1,1,2700.0
1802194,M,44.0,11.0,3.0,1,1,6000.0
1804170,F,57.0,11.0,6.0,1,1,9000.0
1805371,F,34.0,5.0,5.0,0,0,6000.0
1820036,M,69.0,6.0,12.0,0,0,12105.32
1820974,M,53.0,11.0,7.0,0,0,600.0
1824880,M,67.0,6.0,4.0,0,0,1200.0
1833588,F,74.0,8.0,5.0,0,0,2000.0
1856197,F,73.0,4.0,20.0,0,0,6500.0
1860585,F,60.0,7.0,10.0,1,1,1324.2
1868780,F,74.0,9.0,12.0,0,0,11605.32
1878794,F,58.0,5.0,9.0,0,0,21000.0
1891499,F,43.0,8.0,4.0,0,0,1200.0
1895451,F,78.0,8.0,2.0,1,1,3000.0
1896628,F,76.0,4.0,6.0,0,0,6000.0
1897829,F,48.0,15.0,9.0,1,1,500.0
1902814,M,64.0,10.0,11.0,0,0,5100.0
1917439,F,62.0,10.0,5.0,0,0,6053.35
1919512,F,35.0,11.0,8.0,1,1,600.0
1936239,F,35.0,8.0,6.0,1,1,1000.0
1941658,M,63.0,6.0,6.0,0,0,30131.68
1952552,M,57.0,12.0,4.0,0,0,1000.0
1954504,F,45.0,11.0,4.0,0,0,720.0
1976389,F,49.0,6.0,4.0,1,1,920.0
1978349,M,70.0,9.0,8.0,0,0,3000.0
1986597,F,62.0,8.0,2.0,0,0,3750.0
1991744,F,59.0,9.0,28.0,0,0,7400.0
1996495,M,52.0,15.0,5.0,1,1,3000.0
2009935,M,50.0,9.0,9.0,0,0,1200.0
2024128,F,68.0,12.0,3.0,1,1,18678.76
2053047,M,53.0,14.0,5.0,2,1,480.0
2094428,F,76.0,14.0,9.0,1,1,500.0
2115328,F,63.0,11.0,12.0,0,0,19000.0
2124033,F,62.0,11.0,2.0,0,0,12000.0
2176327,F,30.0,22.0,4.0,3,1,1750.0
2219816,M,57.0,5.0,4.0,0,0,3000.0
2222930,F,23.0,7.0,5.0,1,1,1000.0
2245329,F,46.0,9.0,2.0,0,0,5000.0
2275317,M,54.0,7.0,11.0,0,0,4500.0
2281147,F,66.0,13.0,5.0,1,1,2000.0
2303191,M,58.0,3.0,2.0,0,0,3000.0
2334992,F,54.0,10.0,5.0,1,1,2000.0
2337916,F,72.0,7.0,8.0,0,0,26053.35
2360020,M,70.0,14.0,3.0,0,0,20294.5
2372991,F,49.0,12.0,3.0,0,0,14000.0
2373998,M,70.0,12.0,24.0,1,1,29374.72
2384248,F,77.0,3.0,4.0,0,0,15053.82
2387123,M,63.0,6.0,13.0,0,0,18000.0
2390949,F,68.0,6.0,5.0,0,0,19411.22
2397285,F,68.0,5.0,9.0,0,0,1500.0
2405253,M,73.0,7.0,4.0,1,1,2000.0
2420252,F,59.0,10.0,2.0,1,1,6000.0
2423170,F,67.0,11.0,2.0,1,1,6000.0
2428563,F,56.0,7.0,3.0,0,0,20383.7
2443090,F,69.0,9.0,18.0,0,0,5000.0
2444100,M,75.0,8.0,2.0,0,0,8000.0
2452650,M,50.0,6.0,6.0,0,0,1000.0
2488981,F,25.0,12.0,2.0,1,1,6000.0
2502917,F,50.0,10.0,8.0,0,0,3000.0
2513684,F,64.0,9.0,7.0,1,1,300.0
2681226,F,61.0,15.0,4.0,0,0,7500.0
2744937,M,67.0,11.0,2.0,0,0,9000.0
2752220,F,55.0,9.0,4.0,0,0,2000.0
2759365,F,67.0,10.0,8.0,0,0,3000.0
2786591,F,45.0,5.0,3.0,0,0,19465.7
2789647,F,75.0,12.0,23.0,1,1,24106.7
2840502,F,63.0,8.0,6.0,0,0,7000.0
2867451,F,53.0,15.0,3.0,0,0,6000.0
2903679,M,53.0,7.0,8.0,0,0,2460.01
2912872,F,38.0,3.0,5.0,0,0,5192.69
2920077,F,29.0,8.0,4.0,1,1,1500.0
2926687,M,43.0,13.0,11.0,0,0,50.0
2931974,F,70.0,6.0,9.0,1,1,1000.0
2932385,F,65.0,12.0,4.0,1,1,2215.4
2951029,F,73.0,6.0,7.0,0,0,600.0
2958864,F,41.0,9.0,6.0,0,0,12000.0
2960850,F,64.0,11.0,4.0,0,0,6000.0
2966697,F,32.0,6.0,10.0,1,1,3050.0
2972719,F,58.0,2.0,12.0,0,0,6550.0
2981033,F,70.0,6.0,8.0,0,0,6000.0
2981823,M,60.0,16.0,2.0,0,0,3000.0
2989123,F,62.0,5.0,5.0,0,0,6000.0
2991403,F,49.0,6.0,10.0,0,0,1608.0
2996030,F,59.0,7.0,4.0,0,0,5000.0
2997789,M,53.0,8.0,5.0,0,0,1000.0
3003442,F,62.0,20.0,4.0,1,1,1600.0
3012158,F,79.0,11.0,16.0,0,0,5000.0
3013030,F,37.0,12.0,5.0,1,1,6000.01
3022374,F,62.0,8.0,5.0,0,0,13500.0
3027457,F,68.0,8.0,5.0,0,0,2200.0
3028984,F,51.0,9.0,4.0,0,0,6001.74
3029913,F,39.0,13.0,2.0,1,1,1500.0
3030695,F,55.0,6.0,29.0,1,1,7000.0
3035840,F,57.0,3.0,6.0,0,0,2500.0
3037894,F,50.0,12.0,9.0,1,1,600.0
3051145,M,51.0,7.0,2.0,0,0,6000.0
3051153,M,67.0,7.0,8.0,0,0,12000.0
3053628,M,68.0,13.0,3.0,0,0,20364.36
3083780,F,47.0,16.0,8.0,1,1,2790.0
3108244,M,29.0,7.0,8.0,1,1,360.0
3113930,M,61.0,6.0,4.0,0,0,900.0
3116905,F,70.0,8.0,15.0,0,0,3000.01
3124495,F,77.0,6.0,3.0,0,0,6000.0
3124762,F,36.0,25.0,5.0,3,1,2000.0
3125157,F,38.0,8.0,6.0,1,1,12035.57
3461939,M,58.0,15.0,10.0,0,0,100.0
3465624,M,65.0,12.0,10.0,0,0,12100.0
3467236,F,67.0,8.0,7.0,1,1,6000.0
3467759,F,45.0,7.0,9.0,0,0,6000.0
3467856,M,36.0,5.0,8.0,0,0,50.01
3467929,F,27.0,9.0,3.0,0,0,10000.0
3469115,M,46.0,8.0,2.0,0,0,6000.0
3469778,F,78.0,6.0,21.0,0,0,6000.0
3470806,F,55.0,7.0,5.0,0,0,2000.0
3472132,F,55.0,10.0,9.0,0,0,1020.0
3473589,F,52.0,8.0,5.0,0,0,3000.0
3474887,F,75.0,8.0,4.0,0,0,15000.0
3476448,F,36.0,10.0,4.0,1,1,1100.0
3476588,M,64.0,6.0,14.0,0,0,3000.0
3477231,F,58.0,3.0,13.0,0,0,19171.95
3477630,M,48.0,9.0,5.0,0,0,10500.0
3477681,F,65.0,6.0,17.0,0,0,3213.27
3478580,F,49.0,5.0,4.0,0,0,16000.0
3478645,F,44.0,5.0,8.0,1,1,1005.0
3478866,F,38.0,12.0,5.0,0,0,15500.0
3479870,F,73.0,6.0,7.0,0,0,9053.35
3481301,F,74.0,5.0,2.0,0,0,3000.0
3481913,M,48.0,6.0,4.0,0,0,6053.34
3484920,F,58.0,11.0,3.0,1,1,20406.2
3486265,F,76.0,10.0,8.0,0,0,11800.0
3486346,F,58.0,10.0,2.0,0,0,6000.0
3486400,M,69.0,8.0,24.0,0,0,1420.0
3486699,M,72.0,8.0,4.0,1,1,7000.0
3486788,F,33.0,12.0,9.0,2,1,500.0
3487164,F,39.0,10.0,3.0,1,1,10000.0
3488640,F,68.0,9.0,2.0,0,0,12000.0
3488705,F,49.0,16.0,2.0,1,1,2000.0
3491684,M,45.0,14.0,2.0,0,0,7000.0
3492184,M,54.0,10.0,10.0,1,1,50050.0
3493458,M,62.0,18.0,9.0,1,1,23000.0
3495272,F,62.0,9.0,2.0,0,0,6000.0
3497674,M,58.0,6.0,3.0,0,0,20610.65
3498492,M,58.0,5.0,8.0,0,0,3000.0
3500438,F,57.0,10.0,12.0,1,1,3053.35
3500691,M,57.0,17.0,8.0,0,0,12105.32
3500977,F,65.0,4.0,2.0,1,1,6000.0
3502902,M,75.0,8.0,2.0,1,1,6000.0
3504891,M,74.0,6.0,12.0,0,0,3000.0
3505294,F,58.0,6.0,2.0,0,0,3000.0
3507300,F,43.0,9.0,8.0,1,1,50.01
3508765,F,62.0,13.0,8.0,0,0,18426.67
3509648,F,55.0,9.0,9.0,0,0,24300.0
3509915,M,46.0,10.0,9.0,0,0,3120.0
3510646,M,66.0,7.0,8.0,0,0,1200.0
3511073,M,55.0,8.0,18.0,0,0,23.84
3516601,F,58.0,14.0,18.0,2,1,100.0
3517357,F,67.0,11.0,11.0,1,1,12620.93
3518876,M,65.0,7.0,8.0,0,0,3000.0
3519406,M,69.0,13.0,5.0,0,0,5000.0
3520498,M,57.0,8.0,16.0,0,0,17496.51
3522512,F,58.0,5.0,5.0,0,0,1000.0
3522709,F,65.0,7.0,2.0,0,0,12000.0
3526860,M,62.0,7.0,11.0,0,0,4884.25
3527271,M,70.0,6.0,4.0,0,0,32000.0
3527344,F,41.0,6.0,10.0,1,1,3052.66
3528324,M,22.0,20.0,2.0,2,1,100.0
3528537,F,74.0,9.0,12.0,0,0,6000.0
3529657,F,32.0,9.0,2.0,1,1,6000.0
3530183,F,49.0,13.0,9.0,0,0,500.0
3530574,M,63.0,12.0,13.0,0,0,5500.0
3531090,M,76.0,12.0,9.0,0,0,364.38
3533069,F,59.0,8.0,9.0,2,1,3000.0
3534731,F,71.0,8.0,3.0,0,0,20767.52
3535282,M,63.0,10.0,4.0,0,0,6000.0
3536378,F,48.0,11.0,5.0,1,1,900.0
3537250,M,47.0,16.0,5.0,0,0,1000.0
3538494,F,77.0,6.0,32.0,0,0,6000.0
3539164,M,69.0,7.0,4.0,0,0,25162.77
3541401,F,71.0,8.0,31.0,1,1,4884.25
3541614,F,58.0,16.0,9.0,0,0,5000.0
3542785,F,51.0,8.0,5.0,0,0,3000.0
3543773,F,54.0,11.0,8.0,0,0,1500.0
3545040,F,69.0,16.0,8.0,0,0,3000.0
3546357,F,49.0,12.0,5.0,1,1,600.0
3546608,F,55.0,9.0,5.0,1,1,10000.0
3546888,F,67.0,7.0,9.0,0,0,11035.58
3547736,M,61.0,9.0,4.0,0,0,1000.0
3547965,M,49.0,4.0,9.0,0,0,900.0
3549283,F,54.0,10.0,5.0,0,0,100.01
3550346,F,52.0,14.0,6.0,1,1,6053.34
3550427,F,65.0,6.0,2.0,0,0,3000.0
3550583,F,70.0,9.0,5.0,1,1,3000.0
3552055,F,74.0,5.0,2.0,0,0,6000.0
3552489,F,33.0,7.0,13.0,1,1,1500.0
3556271,F,46.0,8.0,22.0,0,0,3000.0
3556573,F,70.0,3.0,8.0,0,0,3000.0
3557685,M,56.0,8.0,10.0,0,0,3000.0
3559424,F,48.0,7.0,7.0,2,1,6105.32
3559491,F,71.0,15.0,5.0,1,1,1500.0
3560619,F,60.0,9.0,2.0,0,0,11858.52
3561216,F,52.0,6.0,7.0,0,0,8200.0
3563790,F,42.0,4.0,8.0,1,1,4884.25
3565556,M,23.0,5.0,5.0,0,0,480.0
3566064,F,33.0,7.0,11.0,0,0,2000.0
3566161,F,51.0,4.0,14.0,0,0,2200.0
3566811,F,20.0,5.0,3.0,1,1,1208.13
3567745,F,29.0,9.0,3.0,1,1,10000.0
3568490,F,63.0,11.0,9.0,1,1,300.0
3569373,F,61.0,12.0,5.0,0,0,1500.0
3570169,F,43.0,4.0,8.0,0,0,6000.0
3573397,F,53.0,10.0,10.0,0,0,9630.0
3575098,M,45.0,9.0,4.0,0,0,2000.0
3575365,F,40.0,12.0,4.0,0,0,2000.0
3575624,F,68.0,11.0,3.0,0,0,15000.0
3576523,F,51.0,10.0,6.0,0,0,3422.48
3577449,M,57.0,14.0,9.0,1,1,800.0
3579115,F,31.0,7.0,7.0,0,0,531.36
3579530,F,24.0,11.0,6.0,1,1,6053.35
3581047,M,46.0,4.0,9.0,0,0,3000.0
3583279,F,55.0,10.0,12.0,0,0,4234.11
3583953,M,65.0,12.0,8.0,0,0,3000.0
3584437,F,66.0,7.0,6.0,0,0,6000.0
3584852,M,48.0,20.0,9.0,2,1,500.0
3585174,F,77.0,4.0,9.0,0,0,6035.46
3585573,F,44.0,11.0,7.0,0,0,6053.35
3585891,F,64.0,6.0,4.0,0,0,1440.0
3586642,M,67.0,7.0,9.0,0,0,50.01
3588122,M,50.0,13.0,5.0,0,0,500.0
3588254,F,36.0,11.0,6.0,1,1,9053.35
3591662,F,36.0,5.0,2.0,1,1,75.0
3592219,F,67.0,9.0,8.0,0,0,12105.32
3592502,F,70.0,16.0,14.0,1,1,19053.34
3592707,F,72.0,3.0,16.0,0,0,3000.0
3594025,M,44.0,8.0,6.0,0,0,6107.64
3594289,F,77.0,6.0,8.0,0,0,3000.0
3594416,F,64.0,8.0,8.0,0,0,10300.0
3596540,F,51.0,8.0,2.0,0,0,6000.0
3598446,F,42.0,11.0,4.0,0,0,6000.0
3598756,M,54.0,12.0,12.0,0,0,3000.0
3599450,F,39.0,6.0,5.0,1,1,2000.0
3601862,M,41.0,7.0,10.0,0,0,6315.0
3603555,F,48.0,13.0,9.0,0,0,6000.0
3604152,F,62.0,4.0,9.0,0,0,6000.0
3604721,M,70.0,11.0,11.0,1,1,6053.34
3605728,F,38.0,18.0,4.0,3,1,1000.0
3606023,M,49.0,12.0,8.0,0,0,2350.0
3606198,M,57.0,9.0,2.0,0,0,6000.0
3606333,F,74.0,3.0,2.0,1,1,4000.0
3606406,F,36.0,10.0,5.0,1,1,600.0
3608115,F,50.0,14.0,3.0,0,0,5000.0
3609367,M,76.0,9.0,4.0,0,0,22025.0
3611175,F,65.0,6.0,24.0,1,1,9768.5
3611248,F,44.0,8.0,11.0,0,0,3500.0
3611418,F,47.0,10.0,9.0,0,0,3000.0
3611957,M,63.0,10.0,2.0,0,0,6000.0
3613364,F,50.0,14.0,11.0,0,0,10166.01
3613658,F,47.0,8.0,2.0,0,0,5000.0
3613720,F,64.0,7.0,5.0,0,0,2000.0
3613895,M,60.0,16.0,12.0,0,0,6105.32
3614077,F,52.0,8.0,2.0,0,0,4199.92
3615073,F,43.0,7.0,4.0,0,0,4000.0
3616096,F,55.0,26.0,13.0,2,1,6000.0
3616835,F,56.0,10.0,2.0,1,1,6000.0
3617238,M,49.0,7.0,11.0,0,0,5000.0
3618641,F,74.0,5.0,14.0,0,0,13791.44
3619087,F,33.0,18.0,9.0,3,1,500.0
3621316,F,39.0,4.0,3.0,0,0,3000.0
3622797,F,69.0,7.0,2.0,0,0,6000.0
3622940,F,40.0,4.0,2.0,0,0,1167.88
3625419,M,48.0,13.0,4.0,0,0,3000.0
3626881,F,79.0,5.0,9.0,0,0,500.0
3626997,F,42.0,13.0,8.0,0,0,3200.0
3627284,F,53.0,6.0,5.0,0,0,3000.0
3627918,F,63.0,7.0,9.0,0,0,4035.88
3630676,M,52.0,9.0,4.0,0,0,1000.0
3632237,M,57.0,11.0,8.0,2,1,3000.0
3633322,F,58.0,7.0,11.0,0,0,1000.0
3634698,F,52.0,14.0,4.0,2,1,20000.0
3634787,M,53.0,6.0,5.0,0,0,12053.35
3635554,M,69.0,4.0,5.0,0,0,1500.0
3635848,M,52.0,11.0,8.0,0,0,6052.65
3637530,M,62.0,14.0,5.0,0,0,2000.0
3637980,F,62.0,12.0,8.0,0,0,12105.32
3639606,F,49.0,5.0,4.0,0,0,5040.0
3639738,F,78.0,7.0,5.0,0,0,6000.0
3641635,M,60.0,8.0,13.0,0,0,13000.0
3641775,F,62.0,6.0,8.0,0,0,8300.0
3642755,F,54.0,5.0,4.0,0,0,4000.0
3646580,F,29.0,11.0,9.0,2,1,1000.0
3647609,M,51.0,6.0,7.0,0,0,15053.35
3653129,F,67.0,9.0,4.0,0,0,1000.0
3657310,F,57.0,5.0,2.0,0,0,6000.0
3657396,M,62.0,8.0,18.0,0,0,2679.2
3658910,F,51.0,6.0,5.0,0,0,1000.0
3660575,F,59.0,9.0,4.0,0,0,1000.0
3661091,F,47.0,10.0,2.0,0,0,37.01
3661563,M,38.0,7.0,7.0,0,0,350.0
3662438,F,73.0,6.0,11.0,0,0,9107.17
3663035,M,52.0,10.0,9.0,0,0,360.0
3663752,F,77.0,13.0,5.0,0,0,6000.0
3664287,F,70.0,6.0,5.0,0,0,3000.0
3666034,F,62.0,10.0,3.0,0,0,9000.0
3667693,M,67.0,5.0,28.0,0,0,3300.01
3668568,F,67.0,10.0,31.0,0,0,6000.0
3668711,F,40.0,12.0,3.0,1,1,20487.4
3669041,F,60.0,13.0,5.0,1,1,22000.0
